"go_id","term_name"
"GO:0010762","regulation of fibroblast migration"
"GO:0010763","positive regulation of fibroblast migration"
"GO:0010765","positive regulation of sodium ion transport"
"GO:0010800","positive regulation of peptidyl-threonine phosphorylation"
"GO:0010801","negative regulation of peptidyl-threonine phosphorylation"
"GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway"
"GO:0010804","negative regulation of tumor necrosis factor-mediated signaling pathway"
"GO:0010807","regulation of synaptic vesicle priming"
"GO:0010811","positive regulation of cell-substrate adhesion"
"GO:0010812","negative regulation of cell-substrate adhesion"
"GO:0010818","T cell chemotaxis"
"GO:0010820","positive regulation of T cell chemotaxis"
"GO:0010821","regulation of mitochondrion organization"
"GO:0010824","regulation of centrosome duplication"
"GO:0010831","positive regulation of myotube differentiation"
"GO:0010832","negative regulation of myotube differentiation"
"GO:0010839","negative regulation of keratinocyte proliferation"
"GO:0010842","retina layer formation"
"GO:0010867","positive regulation of triglyceride biosynthetic process"
"GO:0010875","positive regulation of cholesterol efflux"
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion"
"GO:0010906","regulation of glucose metabolic process"
"GO:0010944","negative regulation of transcription by competitive promoter binding"
"GO:0010951","negative regulation of endopeptidase activity"
"GO:0010954","positive regulation of protein processing"
"GO:0010955","negative regulation of protein processing"
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle"
"GO:0010975","regulation of neuron projection development"
"GO:0010976","positive regulation of neuron projection development"
"GO:0010977","negative regulation of neuron projection development"
"GO:0010996","response to auditory stimulus"
"GO:0014002","astrocyte development"
"GO:0014003","oligodendrocyte development"
"GO:0014009","glial cell proliferation"
"GO:0014032","neural crest cell development"
"GO:0014033","neural crest cell differentiation"
"GO:0014044","Schwann cell development"
"GO:0014047","glutamate secretion"
"GO:0014059","regulation of dopamine secretion"
"GO:0014070","response to organic cyclic compound"
"GO:0014075","response to amine"
"GO:0014823","response to activity"
"GO:0014850","response to muscle activity"
"GO:0014898","cardiac muscle hypertrophy in response to stress"
"GO:0014911","positive regulation of smooth muscle cell migration"
"GO:0015012","heparan sulfate proteoglycan biosynthetic process"
"GO:0015031","protein transport"
"GO:0015693","magnesium ion transport"
"GO:0015698","inorganic anion transport"
"GO:0015701","bicarbonate transport"
"GO:0015711","organic anion transport"
"GO:0015721","bile acid and bile salt transport"
"GO:0015732","prostaglandin transport"
"GO:0015747","urate transport"
"GO:0015804","neutral amino acid transport"
"GO:0015810","aspartate transmembrane transport"
"GO:0015813","L-glutamate transmembrane transport"
"GO:0015816","glycine transport"
"GO:0015824","proline transport"
"GO:0015867","ATP transport"
"GO:0015871","choline transport"
"GO:0015908","fatty acid transport"
"GO:0015909","long-chain fatty acid transport"
"GO:0015914","phospholipid transport"
"GO:0015918","sterol transport"
"GO:0015986","proton motive force-driven ATP synthesis"
"GO:0016024","CDP-diacylglycerol biosynthetic process"
"GO:0016042","lipid catabolic process"
"GO:0016050","vesicle organization"
"GO:0016051","carbohydrate biosynthetic process"
"GO:0016055","Wnt signaling pathway"
"GO:0016064","immunoglobulin mediated immune response"
"GO:0016075","rRNA catabolic process"
"GO:0016079","synaptic vesicle exocytosis"
"GO:0016081","synaptic vesicle docking"
"GO:0016082","synaptic vesicle priming"
"GO:0016125","sterol metabolic process"
"GO:0016126","sterol biosynthetic process"
"GO:0016180","snRNA processing"
"GO:0016192","vesicle-mediated transport"
"GO:0016197","endosomal transport"
"GO:0016226","iron-sulfur cluster assembly"
"GO:0016233","telomere capping"
"GO:0016236","macroautophagy"
"GO:0016239","positive regulation of macroautophagy"
"GO:0016241","regulation of macroautophagy"
"GO:0016242","negative regulation of macroautophagy"
"GO:0016266","O-glycan processing"
"GO:0016310","phosphorylation"
"GO:0016311","dephosphorylation"
"GO:0016322","neuron remodeling"
"GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules"
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules"
"GO:0016358","dendrite development"
"GO:0016446","somatic hypermutation of immunoglobulin genes"
"GO:0016477","cell migration"
"GO:0016485","protein processing"
"GO:0016486","peptide hormone processing"
"GO:0016525","negative regulation of angiogenesis"
"GO:0016540","protein autoprocessing"
"GO:0016556","mRNA modification"
"GO:0016558","protein import into peroxisome matrix"
"GO:0016579","protein deubiquitination"
"GO:0016601","Rac protein signal transduction"
"GO:0016925","protein sumoylation"
"GO:0016973","poly(A)+ mRNA export from nucleus"
"GO:0017015","regulation of transforming growth factor beta receptor signaling pathway"
"GO:0017148","negative regulation of translation"
"GO:0017156","calcium-ion regulated exocytosis"
"GO:0017157","regulation of exocytosis"
"GO:0017158","regulation of calcium ion-dependent exocytosis"
"GO:0018105","peptidyl-serine phosphorylation"
"GO:0018107","peptidyl-threonine phosphorylation"
"GO:0018108","peptidyl-tyrosine phosphorylation"
"GO:0018146","keratan sulfate biosynthetic process"
"GO:0018149","peptide cross-linking"
"GO:0018230","peptidyl-L-cysteine S-palmitoylation"
"GO:0018279","protein N-linked glycosylation via asparagine"
"GO:0018345","protein palmitoylation"
"GO:0019076","viral release from host cell"
"GO:0019079","viral genome replication"
"GO:0019082","viral protein processing"
"GO:0019216","regulation of lipid metabolic process"
"GO:0019221","cytokine-mediated signaling pathway"
"GO:0019222","regulation of metabolic process"
"GO:0019226","transmission of nerve impulse"
"GO:0019228","neuronal action potential"
"GO:0019229","regulation of vasoconstriction"
"GO:0019233","sensory perception of pain"
"GO:0019369","arachidonate metabolic process"
"GO:0019372","lipoxygenase pathway"
"GO:0019395","fatty acid oxidation"
"GO:0019430","removal of superoxide radicals"
"GO:0019432","triglyceride biosynthetic process"
"GO:0019433","triglyceride catabolic process"
"GO:0019722","calcium-mediated signaling"
"GO:0019725","cellular homeostasis"
"GO:0019731","antibacterial humoral response"
"GO:0019732","antifungal humoral response"
"GO:0019827","stem cell population maintenance"
"GO:0019852","L-ascorbic acid metabolic process"
"GO:0019882","antigen processing and presentation"
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II"
"GO:0019896","axonal transport of mitochondrion"
"GO:0019915","lipid storage"
"GO:0019933","cAMP-mediated signaling"
"GO:0019934","cGMP-mediated signaling"
"GO:0019985","translesion synthesis"
"GO:0021510","spinal cord development"
"GO:0021527","spinal cord association neuron differentiation"
"GO:0021537","telencephalon development"
"GO:0021542","dentate gyrus development"
"GO:0021549","cerebellum development"
"GO:0021554","optic nerve development"
"GO:0021591","ventricular system development"
"GO:0021670","lateral ventricle development"
"GO:0021675","nerve development"
"GO:0021702","cerebellar Purkinje cell differentiation"
"GO:0021756","striatum development"
"GO:0021762","substantia nigra development"
"GO:0021766","hippocampus development"
"GO:0021772","olfactory bulb development"
"GO:0021819","layer formation in cerebral cortex"
"GO:0021846","cell proliferation in forebrain"
"GO:0021854","hypothalamus development"
"GO:0021895","cerebral cortex neuron differentiation"
"GO:0021904","dorsal/ventral neural tube patterning"
"GO:0021915","neural tube development"
"GO:0021953","central nervous system neuron differentiation"
"GO:0021954","central nervous system neuron development"
"GO:0021983","pituitary gland development"
"GO:0021987","cerebral cortex development"
"GO:0022008","neurogenesis"
"GO:0022010","central nervous system myelination"
"GO:0022011","myelination in peripheral nervous system"
"GO:0022038","corpus callosum development"
"GO:0022407","regulation of cell-cell adhesion"
"GO:0022408","negative regulation of cell-cell adhesion"
"GO:0022409","positive regulation of cell-cell adhesion"
"GO:0022604","regulation of cell morphogenesis"
"GO:0022617","extracellular matrix disassembly"
"GO:0022904","respiratory electron transport chain"
"GO:0023019","signal transduction involved in regulation of gene expression"
"GO:0023035","CD40 signaling pathway"
"GO:0030003","intracellular monoatomic cation homeostasis"
"GO:0030007","intracellular potassium ion homeostasis"
"GO:0030010","establishment of cell polarity"
"GO:0030030","cell projection organization"
"GO:0030031","cell projection assembly"
"GO:0030032","lamellipodium assembly"
"GO:0030036","actin cytoskeleton organization"
"GO:0030041","actin filament polymerization"
"GO:0030048","actin filament-based movement"
"GO:0030071","regulation of mitotic metaphase/anaphase transition"
"GO:0030073","insulin secretion"
"GO:0030097","hemopoiesis"
"GO:0030099","myeloid cell differentiation"
"GO:0030100","regulation of endocytosis"
"GO:0030101","natural killer cell activation"
"GO:0030111","regulation of Wnt signaling pathway"
"GO:0030148","sphingolipid biosynthetic process"
"GO:0030149","sphingolipid catabolic process"
"GO:0030150","protein import into mitochondrial matrix"
"GO:0030155","regulation of cell adhesion"
"GO:0030162","regulation of proteolysis"
"GO:0030163","protein catabolic process"
"GO:0030166","proteoglycan biosynthetic process"
"GO:0030168","platelet activation"
"GO:0030174","regulation of DNA-templated DNA replication initiation"
"GO:0030177","positive regulation of Wnt signaling pathway"
"GO:0030178","negative regulation of Wnt signaling pathway"
"GO:0030182","neuron differentiation"
"GO:0030183","B cell differentiation"
"GO:0030194","positive regulation of blood coagulation"
"GO:0030195","negative regulation of blood coagulation"
"GO:0030198","extracellular matrix organization"
"GO:0030199","collagen fibril organization"
"GO:0030206","chondroitin sulfate biosynthetic process"
"GO:0030210","heparin biosynthetic process"
"GO:0030214","hyaluronan catabolic process"
"GO:0030216","keratinocyte differentiation"
"GO:0030217","T cell differentiation"
"GO:0030218","erythrocyte differentiation"
"GO:0030220","platelet formation"
"GO:0030224","monocyte differentiation"
"GO:0030225","macrophage differentiation"
"GO:0030238","male sex determination"
"GO:0030239","myofibril assembly"
"GO:0030261","chromosome condensation"
"GO:0030277","maintenance of gastrointestinal epithelium"
"GO:0030278","regulation of ossification"
"GO:0030279","negative regulation of ossification"
"GO:0030282","bone mineralization"
"GO:0030301","cholesterol transport"
"GO:0030307","positive regulation of cell growth"
"GO:0030308","negative regulation of cell growth"
"GO:0030316","osteoclast differentiation"
"GO:0030317","flagellated sperm motility"
"GO:0030318","melanocyte differentiation"
"GO:0030324","lung development"
"GO:0030325","adrenal gland development"
"GO:0030326","embryonic limb morphogenesis"
"GO:0030330","DNA damage response, signal transduction by p53 class mediator"
"GO:0030334","regulation of cell migration"
"GO:0030335","positive regulation of cell migration"
"GO:0030336","negative regulation of cell migration"
"GO:0030488","tRNA methylation"
"GO:0030490","maturation of SSU-rRNA"
"GO:0030500","regulation of bone mineralization"
"GO:0030501","positive regulation of bone mineralization"
"GO:0030502","negative regulation of bone mineralization"
"GO:0030509","BMP signaling pathway"
"GO:0030510","regulation of BMP signaling pathway"
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway"
"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway"
"GO:0030513","positive regulation of BMP signaling pathway"
"GO:0030514","negative regulation of BMP signaling pathway"
"GO:0030516","regulation of axon extension"
"GO:0030517","negative regulation of axon extension"
"GO:0030518","nuclear receptor-mediated steroid hormone signaling pathway"
"GO:0030520","estrogen receptor signaling pathway"
"GO:0030521","androgen receptor signaling pathway"
"GO:0030522","intracellular receptor signaling pathway"
"GO:0030534","adult behavior"
"GO:0030539","male genitalia development"
"GO:0030574","collagen catabolic process"
"GO:0030593","neutrophil chemotaxis"
"GO:0030595","leukocyte chemotaxis"
"GO:0030833","regulation of actin filament polymerization"
"GO:0030837","negative regulation of actin filament polymerization"
"GO:0030838","positive regulation of actin filament polymerization"
"GO:0030851","granulocyte differentiation"
"GO:0030855","epithelial cell differentiation"
"GO:0030857","negative regulation of epithelial cell differentiation"
"GO:0030866","cortical actin cytoskeleton organization"
"GO:0030878","thyroid gland development"
"GO:0030879","mammary gland development"
"GO:0030889","negative regulation of B cell proliferation"
"GO:0030890","positive regulation of B cell proliferation"
"GO:0030900","forebrain development"
"GO:0030901","midbrain development"
"GO:0030902","hindbrain development"
"GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway"
"GO:0030968","endoplasmic reticulum unfolded protein response"
"GO:0030970","retrograde protein transport, ER to cytosol"
"GO:0031016","pancreas development"
"GO:0031018","endocrine pancreas development"
"GO:0031032","actomyosin structure organization"
"GO:0031047","regulatory ncRNA-mediated gene silencing"
"GO:0031054","pre-miRNA processing"
"GO:0031069","hair follicle morphogenesis"
"GO:0031076","embryonic camera-type eye development"
"GO:0031100","animal organ regeneration"
"GO:0031103","axon regeneration"
"GO:0031110","regulation of microtubule polymerization or depolymerization"
"GO:0031113","regulation of microtubule polymerization"
"GO:0031115","negative regulation of microtubule polymerization"
"GO:0031116","positive regulation of microtubule polymerization"
"GO:0031122","cytoplasmic microtubule organization"
"GO:0031123","RNA 3'-end processing"
"GO:0031124","mRNA 3'-end processing"
"GO:0031145","anaphase-promoting complex-dependent catabolic process"
"GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"GO:0031167","rRNA methylation"
"GO:0031175","neuron projection development"
"GO:0031214","biomineral tissue development"
"GO:0031274","positive regulation of pseudopodium assembly"
"GO:0031290","retinal ganglion cell axon guidance"
"GO:0031295","T cell costimulation"
"GO:0031297","replication fork processing"
"GO:0031333","negative regulation of protein-containing complex assembly"
"GO:0031334","positive regulation of protein-containing complex assembly"
"GO:0031396","regulation of protein ubiquitination"
"GO:0031397","negative regulation of protein ubiquitination"
"GO:0031398","positive regulation of protein ubiquitination"
"GO:0031424","keratinization"
"GO:0031468","nuclear membrane reassembly"
"GO:0031503","protein-containing complex localization"
"GO:0031507","heterochromatin formation"
"GO:0031529","ruffle organization"
"GO:0031571","mitotic G1 DNA damage checkpoint signaling"
"GO:0031573","mitotic intra-S DNA damage checkpoint signaling"
"GO:0031589","cell-substrate adhesion"
"GO:0031623","receptor internalization"
"GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane"
"GO:0031638","zymogen activation"
"GO:0031639","plasminogen activation"
"GO:0031640","killing of cells of another organism"
"GO:0031641","regulation of myelination"
"GO:0031643","positive regulation of myelination"
"GO:0031647","regulation of protein stability"
"GO:0031648","protein destabilization"
"GO:0031663","lipopolysaccharide-mediated signaling pathway"
"GO:0031667","response to nutrient levels"
"GO:0031669","cellular response to nutrient levels"
"GO:0031929","TOR signaling"
"GO:0031954","positive regulation of protein autophosphorylation"
"GO:0032006","regulation of TOR signaling"
"GO:0032007","negative regulation of TOR signaling"
"GO:0032008","positive regulation of TOR signaling"
"GO:0032012","regulation of ARF protein signal transduction"
"GO:0032024","positive regulation of insulin secretion"
"GO:0032026","response to magnesium ion"
"GO:0032088","negative regulation of NF-kappaB transcription factor activity"
"GO:0032091","negative regulation of protein binding"
"GO:0032092","positive regulation of protein binding"
"GO:0032094","response to food"
"GO:0032147","activation of protein kinase activity"
"GO:0032148","activation of protein kinase B activity"
"GO:0032200","telomere organization"
"GO:0032204","regulation of telomere maintenance"
"GO:0032206","positive regulation of telomere maintenance"
"GO:0032211","negative regulation of telomere maintenance via telomerase"
"GO:0032212","positive regulation of telomere maintenance via telomerase"
"GO:0032228","regulation of synaptic transmission, GABAergic"
"GO:0032230","positive regulation of synaptic transmission, GABAergic"
"GO:0032233","positive regulation of actin filament bundle assembly"
"GO:0032259","methylation"
"GO:0032330","regulation of chondrocyte differentiation"
"GO:0032331","negative regulation of chondrocyte differentiation"
"GO:0032332","positive regulation of chondrocyte differentiation"
"GO:0032355","response to estradiol"
"GO:0032367","intracellular cholesterol transport"
"GO:0032402","melanosome transport"
"GO:0032418","lysosome localization"
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0032438","melanosome organization"
"GO:0032456","endocytic recycling"
"GO:0032465","regulation of cytokinesis"
"GO:0032467","positive regulation of cytokinesis"
"GO:0032469","endoplasmic reticulum calcium ion homeostasis"
"GO:0032480","negative regulation of type I interferon production"
"GO:0032481","positive regulation of type I interferon production"
"GO:0032482","Rab protein signal transduction"
"GO:0032486","Rap protein signal transduction"
"GO:0032495","response to muramyl dipeptide"
"GO:0032496","response to lipopolysaccharide"
"GO:0032502","developmental process"
"GO:0032508","DNA duplex unwinding"
"GO:0032526","response to retinoic acid"
"GO:0032543","mitochondrial translation"
"GO:0032570","response to progesterone"
"GO:0032688","negative regulation of interferon-beta production"
"GO:0032689","negative regulation of type II interferon production"
"GO:0032691","negative regulation of interleukin-1 beta production"
"GO:0032693","negative regulation of interleukin-10 production"
"GO:0032695","negative regulation of interleukin-12 production"
"GO:0032700","negative regulation of interleukin-17 production"
"GO:0032703","negative regulation of interleukin-2 production"
"GO:0032715","negative regulation of interleukin-6 production"
"GO:0032717","negative regulation of interleukin-8 production"
"GO:0032720","negative regulation of tumor necrosis factor production"
"GO:0032722","positive regulation of chemokine production"
"GO:0032725","positive regulation of granulocyte macrophage colony-stimulating factor production"
"GO:0032727","positive regulation of interferon-alpha production"
"GO:0032728","positive regulation of interferon-beta production"
"GO:0032729","positive regulation of type II interferon production"
"GO:0032731","positive regulation of interleukin-1 beta production"
"GO:0032733","positive regulation of interleukin-10 production"
"GO:0032735","positive regulation of interleukin-12 production"
"GO:0032736","positive regulation of interleukin-13 production"
"GO:0032740","positive regulation of interleukin-17 production"
"GO:0032743","positive regulation of interleukin-2 production"
"GO:0032753","positive regulation of interleukin-4 production"
"GO:0032755","positive regulation of interleukin-6 production"
"GO:0032757","positive regulation of interleukin-8 production"
"GO:0032760","positive regulation of tumor necrosis factor production"
"GO:0032780","negative regulation of ATP-dependent activity"
"GO:0032781","positive regulation of ATP-dependent activity"
"GO:0032786","positive regulation of DNA-templated transcription, elongation"
"GO:0032790","ribosome disassembly"
"GO:0032793","positive regulation of CREB transcription factor activity"
"GO:0032801","receptor catabolic process"
"GO:0032868","response to insulin"
"GO:0032869","cellular response to insulin stimulus"
"GO:0032870","cellular response to hormone stimulus"
"GO:0032874","positive regulation of stress-activated MAPK cascade"
"GO:0032880","regulation of protein localization"
"GO:0032897","negative regulation of viral transcription"
"GO:0032922","circadian regulation of gene expression"
"GO:0032924","activin receptor signaling pathway"
"GO:0032930","positive regulation of superoxide anion generation"
"GO:0032956","regulation of actin cytoskeleton organization"
"GO:0032963","collagen metabolic process"
"GO:0032964","collagen biosynthetic process"
"GO:0032967","positive regulation of collagen biosynthetic process"
"GO:0032968","positive regulation of transcription elongation by RNA polymerase II"
"GO:0032981","mitochondrial respiratory chain complex I assembly"
"GO:0033044","regulation of chromosome organization"
"GO:0033077","T cell differentiation in thymus"
"GO:0033120","positive regulation of RNA splicing"
"GO:0033137","negative regulation of peptidyl-serine phosphorylation"
"GO:0033138","positive regulation of peptidyl-serine phosphorylation"
"GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway"
"GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway"
"GO:0033173","calcineurin-NFAT signaling cascade"
"GO:0033189","response to vitamin A"
"GO:0033198","response to ATP"
"GO:0033209","tumor necrosis factor-mediated signaling pathway"
"GO:0033280","response to vitamin D"
"GO:0033314","mitotic DNA replication checkpoint signaling"
"GO:0033344","cholesterol efflux"
"GO:0033365","protein localization to organelle"
"GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase"
"GO:0033554","cellular response to stress"
"GO:0033555","multicellular organismal response to stress"
"GO:0033574","response to testosterone"
"GO:0033617","mitochondrial cytochrome c oxidase assembly"
"GO:0033619","membrane protein proteolysis"
"GO:0033622","integrin activation"
"GO:0033627","cell adhesion mediated by integrin"
"GO:0033628","regulation of cell adhesion mediated by integrin"
"GO:0033630","positive regulation of cell adhesion mediated by integrin"
"GO:0033687","osteoblast proliferation"
"GO:0033689","negative regulation of osteoblast proliferation"
"GO:0033690","positive regulation of osteoblast proliferation"
"GO:0033700","phospholipid efflux"
"GO:0033962","P-body assembly"
"GO:0034058","endosomal vesicle fusion"
"GO:0034063","stress granule assembly"
"GO:0034067","protein localization to Golgi apparatus"
"GO:0034097","response to cytokine"
"GO:0034101","erythrocyte homeostasis"
"GO:0034113","heterotypic cell-cell adhesion"
"GO:0034115","negative regulation of heterotypic cell-cell adhesion"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion"
"GO:0034121","regulation of toll-like receptor signaling pathway"
"GO:0034122","negative regulation of toll-like receptor signaling pathway"
"GO:0034138","toll-like receptor 3 signaling pathway"
"GO:0034142","toll-like receptor 4 signaling pathway"
"GO:0034145","positive regulation of toll-like receptor 4 signaling pathway"
"GO:0034198","cellular response to amino acid starvation"
"GO:0034220","monoatomic ion transmembrane transport"
"GO:0034243","regulation of transcription elongation by RNA polymerase II"
"GO:0034244","negative regulation of transcription elongation by RNA polymerase II"
"GO:0034260","negative regulation of GTPase activity"
"GO:0034314","Arp2/3 complex-mediated actin nucleation"
"GO:0034315","regulation of Arp2/3 complex-mediated actin nucleation"
"GO:0034332","adherens junction organization"
"GO:0034333","adherens junction assembly"
"GO:0034341","response to type II interferon"
"GO:0034356","NAD biosynthesis via nicotinamide riboside salvage pathway"
"GO:0034374","low-density lipoprotein particle remodeling"
"GO:0034375","high-density lipoprotein particle remodeling"
"GO:0034379","very-low-density lipoprotein particle assembly"
"GO:0034380","high-density lipoprotein particle assembly"
"GO:0034383","low-density lipoprotein particle clearance"
"GO:0034389","lipid droplet organization"
"GO:0034392","negative regulation of smooth muscle cell apoptotic process"
"GO:0034394","protein localization to cell surface"
"GO:0034446","substrate adhesion-dependent cell spreading"
"GO:0034453","microtubule anchoring"
"GO:0034472","snRNA 3'-end processing"
"GO:0034497","protein localization to phagophore assembly site"
"GO:0034501","protein localization to kinetochore"
"GO:0034504","protein localization to nucleus"
"GO:0034587","piRNA processing"
"GO:0034599","cellular response to oxidative stress"
"GO:0034605","cellular response to heat"
"GO:0034612","response to tumor necrosis factor"
"GO:0034614","cellular response to reactive oxygen species"
"GO:0034620","cellular response to unfolded protein"
"GO:0034638","phosphatidylcholine catabolic process"
"GO:0034644","cellular response to UV"
"GO:0034695","response to prostaglandin E"
"GO:0034727","piecemeal microautophagy of the nucleus"
"GO:0034755","iron ion transmembrane transport"
"GO:0034765","regulation of monoatomic ion transmembrane transport"
"GO:0034976","response to endoplasmic reticulum stress"
"GO:0035019","somatic stem cell population maintenance"
"GO:0035022","positive regulation of Rac protein signal transduction"
"GO:0035023","regulation of Rho protein signal transduction"
"GO:0035024","negative regulation of Rho protein signal transduction"
"GO:0035025","positive regulation of Rho protein signal transduction"
"GO:0035036","sperm-egg recognition"
"GO:0035050","embryonic heart tube development"
"GO:0035082","axoneme assembly"
"GO:0035092","sperm DNA condensation"
"GO:0035094","response to nicotine"
"GO:0035108","limb morphogenesis"
"GO:0035115","embryonic forelimb morphogenesis"
"GO:0035116","embryonic hindlimb morphogenesis"
"GO:0035162","embryonic hemopoiesis"
"GO:0035176","social behavior"
"GO:0035194","regulatory ncRNA-mediated post-transcriptional gene silencing"
"GO:0035195","miRNA-mediated post-transcriptional gene silencing"
"GO:0035196","miRNA processing"
"GO:0035234","ectopic germ cell programmed cell death"
"GO:0035235","ionotropic glutamate receptor signaling pathway"
"GO:0035249","synaptic transmission, glutamatergic"
"GO:0035264","multicellular organism growth"
"GO:0035265","organ growth"
"GO:0035269","protein O-linked mannosylation"
"GO:0035278","miRNA-mediated gene silencing by inhibition of translation"
"GO:0035313","wound healing, spreading of epidermal cells"
"GO:0035329","hippo signaling"
"GO:0035331","negative regulation of hippo signaling"
"GO:0035332","positive regulation of hippo signaling"
"GO:0035335","peptidyl-tyrosine dephosphorylation"
"GO:0035338","long-chain fatty-acyl-CoA biosynthetic process"
"GO:0035418","protein localization to synapse"
"GO:0035435","phosphate ion transmembrane transport"
"GO:0035455","response to interferon-alpha"
"GO:0035456","response to interferon-beta"
"GO:0035458","cellular response to interferon-beta"
"GO:0035493","SNARE complex assembly"
"GO:0035567","non-canonical Wnt signaling pathway"
"GO:0035589","G protein-coupled purinergic nucleotide receptor signaling pathway"
"GO:0035633","maintenance of blood-brain barrier"
"GO:0035640","exploration behavior"
"GO:0035641","locomotory exploration behavior"
"GO:0035694","mitochondrial protein catabolic process"
"GO:0035720","intraciliary anterograde transport"
"GO:0035725","sodium ion transmembrane transport"
"GO:0035729","cellular response to hepatocyte growth factor stimulus"
"GO:0035774","positive regulation of insulin secretion involved in cellular response to glucose stimulus"
"GO:0035810","positive regulation of urine volume"
"GO:0035845","photoreceptor cell outer segment organization"
"GO:0035855","megakaryocyte development"
"GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway"
"GO:0035865","cellular response to potassium ion"
"GO:0035902","response to immobilization stress"
"GO:0035904","aorta development"
"GO:0035909","aorta morphogenesis"
"GO:0035914","skeletal muscle cell differentiation"
"GO:0035924","cellular response to vascular endothelial growth factor stimulus"
"GO:0035970","peptidyl-threonine dephosphorylation"
"GO:0035987","endodermal cell differentiation"
"GO:0035988","chondrocyte proliferation"
"GO:0035994","response to muscle stretch"
"GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process"
"GO:0036120","cellular response to platelet-derived growth factor stimulus"
"GO:0036151","phosphatidylcholine acyl-chain remodeling"
"GO:0036152","phosphatidylethanolamine acyl-chain remodeling"
"GO:0036158","outer dynein arm assembly"
"GO:0036159","inner dynein arm assembly"
"GO:0036211","protein modification process"
"GO:0036258","multivesicular body assembly"
"GO:0036297","interstrand cross-link repair"
"GO:0036302","atrioventricular canal development"
"GO:0036342","post-anal tail morphogenesis"
"GO:0036376","sodium ion export across plasma membrane"
"GO:0036465","synaptic vesicle recycling"
"GO:0036503","ERAD pathway"
"GO:0038061","non-canonical NF-kappaB signal transduction"
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway"
"GO:0038066","p38MAPK cascade"
"GO:0038083","peptidyl-tyrosine autophosphorylation"
"GO:0038084","vascular endothelial growth factor signaling pathway"
"GO:0038092","nodal signaling pathway"
"GO:0038095","Fc-epsilon receptor signaling pathway"
"GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis"
"GO:0038166","angiotensin-activated signaling pathway"
"GO:0038180","nerve growth factor signaling pathway"
"GO:0038202","TORC1 signaling"
"GO:0039702","viral budding via host ESCRT complex"
"GO:0040008","regulation of growth"
"GO:0040014","regulation of multicellular organism growth"
"GO:0040015","negative regulation of multicellular organism growth"
"GO:0040018","positive regulation of multicellular organism growth"
"GO:0040019","positive regulation of embryonic development"
"GO:0040029","epigenetic regulation of gene expression"
"GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway"
"GO:0042026","protein refolding"
"GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway"
"GO:0042060","wound healing"
"GO:0042073","intraciliary transport"
"GO:0042098","T cell proliferation"
"GO:0042100","B cell proliferation"
"GO:0042102","positive regulation of T cell proliferation"
"GO:0042104","positive regulation of activated T cell proliferation"
"GO:0042110","T cell activation"
"GO:0042113","B cell activation"
"GO:0042116","macrophage activation"
"GO:0042119","neutrophil activation"
"GO:0042127","regulation of cell population proliferation"
"GO:0042129","regulation of T cell proliferation"
"GO:0042130","negative regulation of T cell proliferation"
"GO:0042147","retrograde transport, endosome to Golgi"
"GO:0042149","cellular response to glucose starvation"
"GO:0042157","lipoprotein metabolic process"
"GO:0042176","regulation of protein catabolic process"
"GO:0042177","negative regulation of protein catabolic process"
"GO:0042220","response to cocaine"
"GO:0042246","tissue regeneration"
"GO:0042254","ribosome biogenesis"
"GO:0042267","natural killer cell mediated cytotoxicity"
"GO:0042273","ribosomal large subunit biogenesis"
"GO:0042274","ribosomal small subunit biogenesis"
"GO:0042307","positive regulation of protein import into nucleus"
"GO:0042308","negative regulation of protein import into nucleus"
"GO:0042310","vasoconstriction"
"GO:0042311","vasodilation"
"GO:0042325","regulation of phosphorylation"
"GO:0042326","negative regulation of phosphorylation"
"GO:0042327","positive regulation of phosphorylation"
"GO:0042391","regulation of membrane potential"
"GO:0042407","cristae formation"
"GO:0042417","dopamine metabolic process"
